A,B,C,D,E,F,G,H,R,Glucose
598.34,379.17,2015.615,339.7,957.69,1352.335,86.655,112.95,276.545,0
626.365,427.28,1614.005,486.865,1015.645,1213.665,85.54,115,292.98,15
662.9,432.425,1687.515,483.19,1053.365,1266.76,82.825,106.895,292.56,30
701.285,423.87,1722.045,459.825,1068.93,1306.205,85.29,114.095,294.665,45
778.765,432.395,1656.605,446.165,992.2,1206.24,81.675,109.495,293.71,60
563.545,378.605,1568.82,384.705,958.96,1155.735,83.055,107.65,329.185,75
716.075,425.735,1657.04,478.035,1057.685,1278.445,80.985,102.125,246.82,90
619.015,398.715,1601.45,428.28,1006.895,1225.905,83.27,106.95,314.855,105
525.95,396.915,1564.365,433.74,1004.525,1214.845,81.32,108.49,343.085,120
698.445,436.245,1629.555,500.77,1015.29,1217.205,81.87,110.2,275.55,135
792.1,454.02,1709.395,506.835,1051.21,1258.94,79.175,104.18,281.64,150
715.69,428.195,1703.75,452.31,1069.315,1290.68,80.84,109.225,352.13,165
775.315,428.545,1751.895,453.98,1073.2,1301.995,81.92,113.45,336.385,180
787.29,419.61,1544.705,457.685,1013.25,1213.18,83.305,107.07,389.25,195
578.355,398.775,1542.925,442.605,985.36,1186.065,81.66,110.49,330.33,210
765.515,421.57,1687.045,482.12,1049.985,1275.69,83.465,113.26,309.41,225
725.72,439.53,1698.83,469.755,1061.835,1282.675,80.72,111.155,337.61,240
843.92,573.435,2194.17,498.575,1197.77,1475.53,78.66,108.185,326.075,255
707.455,429.93,1763.77,456.835,1052.34,1287.835,79.065,108.475,322.17,270
651.03,403.795,1490.17,452.525,966.055,1166.77,79.675,107.05,343.32,285
831.815,415.255,1453.805,492.105,980.445,1171.63,84.3,106.985,353.275,300
791,407.11,1481.385,453.05,977.065,1176.605,85.365,114.44,413.765,315
833.885,377.25,1477.46,430.205,975.36,1187.845,77.12,103.835,382.085,330
717.1,425.385,1679.51,492.43,1076.865,1312.5,77.65,105.185,356.075,345
862.29,442.055,1673.56,506.15,1069.94,1302.295,74.655,102.125,379.555,360
782.835,439.055,1639.09,518.545,1054.445,1274.165,77.1,103.97,338.45,375
616.355,387.255,1510.925,463.69,1050.225,1289.53,74.1,98.175,403.73,390
943.225,435.58,1701.225,462.975,966.035,1199.255,96.92,111.91,322.82,405
756.555,476.65,1624.1,595.365,1111.9,1296.49,78.285,105.43,331.055,420
740.23,423.965,1651.965,487.47,1061.33,1286.98,85.275,112.795,389.785,435
